name,adress
Go разработчик со знаниями Python,https://astana.hh.kz/vacancy/76645849?from=vacancy_search_list&query=python
Преподаватель по робототехнике и программированию,https://astana.hh.kz/vacancy/75904017?from=vacancy_search_list&query=python
Python разработчик,https://astana.hh.kz/vacancy/76690574?from=vacancy_search_list&query=python
Middle Backend Python Developer,https://astana.hh.kz/vacancy/76042812?from=vacancy_search_list&query=python
Python Разработчик,https://astana.hh.kz/vacancy/76555307?from=vacancy_search_list&query=python
Data Engineer (Big Data),https://astana.hh.kz/vacancy/75850671?from=vacancy_search_list&query=python
Стажер Power BI,https://astana.hh.kz/vacancy/76719301?from=vacancy_search_list&query=python
Middle Python Developer,https://astana.hh.kz/vacancy/75817471?from=vacancy_search_list&query=python
"Аналитик - cпециалист (Analyst/поисковый аналитик, удаленно)",https://astana.hh.kz/vacancy/76699981?from=vacancy_search_list&query=python
Аналитик в группу аналитики качества сервиса Вертикалей,https://astana.hh.kz/vacancy/76114730?from=vacancy_search_list&query=python
Senior backend developer (Django),https://astana.hh.kz/vacancy/75625202?from=vacancy_search_list&query=python
Преподаватель программирования для детей и подростков,https://astana.hh.kz/vacancy/76056659?from=vacancy_search_list&query=python
Junior Fullstack программист-разработчик,https://astana.hh.kz/vacancy/76383406?from=vacancy_search_list&query=python
Data engineer,https://astana.hh.kz/vacancy/72202928?from=vacancy_search_list&query=python
Data/Product Analyst (GameDev),https://astana.hh.kz/vacancy/72753998?from=vacancy_search_list&query=python
Программист-разработчик,https://astana.hh.kz/vacancy/76695778?from=vacancy_search_list&query=python
Senior Python developer (MLOps),https://astana.hh.kz/vacancy/72709056?from=vacancy_search_list&query=python
QA Engineer (Python + pytest),https://astana.hh.kz/vacancy/75697574?from=vacancy_search_list&query=python
Data Analyst/Аналитик данных (Senior),https://astana.hh.kz/vacancy/75545500?from=vacancy_search_list&query=python
Middle backend developer,https://astana.hh.kz/vacancy/75844874?from=vacancy_search_list&query=python
Data Analyst\ Аналитик данных (Бизнес аналитик),https://astana.hh.kz/vacancy/76029642?from=vacancy_search_list&query=python
Тестировщик,https://astana.hh.kz/vacancy/75818370?from=vacancy_search_list&query=python
Преподаватель программирования для детей и подростков,https://astana.hh.kz/vacancy/75835681?from=vacancy_search_list&query=python
Аналитик,https://astana.hh.kz/vacancy/75942372?from=vacancy_search_list&query=python
Frontend-разработчик,https://astana.hh.kz/vacancy/72274536?from=vacancy_search_list&query=python
Специалист Risk Campaigns,https://astana.hh.kz/vacancy/75671732?from=vacancy_search_list&query=python
Web-разработчик,https://astana.hh.kz/vacancy/74045467?from=vacancy_search_list&query=python
Проектный менеджер в IT-школу,https://astana.hh.kz/vacancy/75668572?from=vacancy_search_list&query=python
BI аналитик,https://astana.hh.kz/vacancy/75538547?from=vacancy_search_list&query=python
IT Аналитик,https://astana.hh.kz/vacancy/75676554?from=vacancy_search_list&query=python
IT-администратор \ Web-программист,https://astana.hh.kz/vacancy/75681576?from=vacancy_search_list&query=python
Разработчик Python,https://astana.hh.kz/vacancy/76454737?from=vacancy_search_list&query=python
Преподаватель по программированию,https://astana.hh.kz/vacancy/76723296?from=vacancy_search_list&query=python
Data Scientist (Скормейкер),https://astana.hh.kz/vacancy/76636130?from=vacancy_search_list&query=python
Преподаватель по программированию,https://astana.hh.kz/vacancy/76487767?from=vacancy_search_list&query=python
IT разработчик,https://astana.hh.kz/vacancy/76629004?from=vacancy_search_list&query=python
Python RPA Developer,https://astana.hh.kz/vacancy/76261624?from=vacancy_search_list&query=python
Python backend разработчик,https://astana.hh.kz/vacancy/75825249?from=vacancy_search_list&query=python
Image Quality инженер,https://astana.hh.kz/vacancy/76424810?from=vacancy_search_list&query=python
Backend разработчик (Python),https://astana.hh.kz/vacancy/75591355?from=vacancy_search_list&query=python
Администратор VoIP и инфраструктуры,https://astana.hh.kz/vacancy/73487184?from=vacancy_search_list&query=python
Web Analyst,https://astana.hh.kz/vacancy/76162883?from=vacancy_search_list&query=python
Android Разработчик,https://astana.hh.kz/vacancy/76555108?from=vacancy_search_list&query=python
Заместитель начальника управления анализа данных,https://astana.hh.kz/vacancy/76574613?from=vacancy_search_list&query=python
Бағдарламашы (программист оқытушы),https://astana.hh.kz/vacancy/75601927?from=vacancy_search_list&query=python
